name,age,gender,course,year,attendance,gpa_sem1,gpa_sem2,gpa_sem3,gpa_sem4,gpa_sem5,backlog_count,event_participation,dropout_thought,avg_gpa,event_score,has_backlog,risk_probability,predicted_risk_probability,risk_level
Payal Pinto,21,Female,BBA,2nd Year,96,7.3,5.4,6.2,6.3,7.9,2.0,regularly,0,6.6,3,1,0.34653480205300596,0.35,Medium
Ira Sethi,18,Male,BSc CS,3rd Year,73,6.6,8.0,7.1,8.3,6.6,0.0,rarely,0,7.3,1,0,0.3414773238887054,0.34,Medium
Khushi Iyer,18,Male,BCom,1st Year,85,9.8,6.9,6.0,6.7,6.6,1.0,never,0,7.2,0,1,0.43710418104871385,0.44,Medium
Arjun Chopra,18,Female,BCom,3rd Year,70,7.9,7.4,5.5,8.2,6.0,0.0,rarely,0,7.0,1,0,0.389140678932677,0.39,Medium
Nisha Gawande,21,Male,BSc IT,1st Year,100,5.7,7.1,7.9,8.4,6.3,1.0,rarely,0,7.1,1,1,0.32091724945223143,0.32,Medium
Hetal Nair,18,Female,BA,2nd Year,85,7.6,5.3,6.3,10.0,6.4,2.0,rarely,0,7.1,1,1,0.46258666746705884,0.46,Medium
Karan Yadav,22,Female,BSc CS,1st Year,59,5.5,8.5,7.3,7.0,7.1,2.0,regularly,0,7.1,3,1,0.4607107482666506,0.46,Medium
Jay Iyer,20,Male,BCom,2nd Year,53,8.4,5.0,7.7,6.7,7.2,0.0,occasionally,0,7.0,2,0,0.4069093855989434,0.4,Medium
Sara Joshi,18,Male,BSc IT,1st Year,84,7.1,8.1,7.0,6.7,7.3,1.0,occasionally,0,7.2,2,1,0.31491430801092535,0.32,Medium
Tanish Bose,21,Male,BCom,2nd Year,58,7.5,6.8,6.4,6.8,7.9,1.0,rarely,0,7.1,1,1,0.5075186841552359,0.5,Medium
Karan Pawar,19,Female,BSc CS,2nd Year,70,7.0,6.7,6.4,6.2,7.0,3.0,regularly,0,6.7,3,1,0.5369781192784464,0.56,Medium
Sejal Pandey,20,Female,BBA,1st Year,94,8.3,6.1,7.1,8.3,8.1,1.0,never,0,7.6,0,1,0.34736020650118543,0.35,Medium
Sara Saxena,22,Female,BSc IT,3rd Year,82,8.6,8.3,7.0,9.0,7.6,0.0,regularly,0,8.1,3,0,0.08564696701383655,0.09,Low
Saanvi Deshmukh,20,Male,BA,3rd Year,62,6.2,6.2,6.9,7.1,7.4,1.0,occasionally,0,6.8,2,1,0.4707056457664255,0.47,Medium
Diya Chaudhari,18,Female,BCom,1st Year,75,8.8,6.4,7.0,6.2,6.5,2.0,regularly,0,7.0,3,1,0.4011615691688928,0.41,Medium
Hitesh Menon,19,Female,BCom,1st Year,61,5.7,7.3,4.9,6.7,10.0,1.0,rarely,0,6.9,1,1,0.5139868535582434,0.52,Medium
Tanvi Yadav,18,Male,BSc CS,1st Year,71,8.3,8.7,9.8,5.1,5.4,4.0,never,1,7.5,0,1,0.6883122730137768,0.67,High
Arnav Desai,19,Male,BCom,3rd Year,82,6.6,6.6,7.2,7.0,8.6,2.0,regularly,0,7.2,3,1,0.34302308130984177,0.34,Medium
Ira Nikam,21,Male,BSc CS,3rd Year,100,9.8,6.7,7.6,8.1,6.8,0.0,never,0,7.8,0,0,0.21874718612119912,0.23,Low
Pooja Mukherjee,20,Female,BBA,3rd Year,58,9.3,7.0,8.1,8.4,4.2,1.0,occasionally,0,7.4,2,1,0.41288231233304307,0.41,Medium
Meera Rawat,21,Female,BCom,3rd Year,74,6.7,9.4,7.3,6.9,6.0,3.0,occasionally,0,7.3,2,1,0.5056727796620343,0.5,Medium
Trisha Sinha,22,Male,BA,2nd Year,82,4.7,7.3,6.3,9.2,7.0,1.0,rarely,0,6.9,1,1,0.4269291953056998,0.43,Medium
Laksh Singh,22,Male,BSc CS,3rd Year,49,9.1,8.3,7.6,6.9,6.7,1.0,occasionally,0,7.7,2,1,0.41214695200648327,0.4,Medium
Heena Chavan,21,Female,BA,2nd Year,76,4.9,8.5,7.0,5.7,7.0,1.0,never,0,6.6,0,1,0.5464927814629168,0.55,Medium
Akash Saxena,21,Female,BSc IT,1st Year,72,7.8,6.8,7.0,6.8,8.3,0.0,rarely,0,7.3,1,0,0.3411771768166402,0.34,Medium
Chirag Sheikh,21,Male,BA,2nd Year,77,4.7,7.5,7.2,8.4,6.4,2.0,occasionally,0,6.8,2,1,0.4693399765885283,0.47,Medium
Monika Patil,18,Female,BSc CS,1st Year,63,7.6,7.1,7.4,7.2,6.4,2.0,regularly,0,7.2,3,1,0.43428279857129987,0.44,Medium
Krishna Nair,18,Male,BSc CS,1st Year,84,6.5,6.8,6.8,7.2,7.6,0.0,regularly,0,7.0,3,0,0.21146861962361557,0.21,Low
Pranav Mishra,22,Male,BSc CS,3rd Year,76,6.7,7.0,10.0,7.9,5.8,0.0,never,0,7.5,0,0,0.36332803073506015,0.37,Medium
Ritika Gadkari,19,Female,BCom,3rd Year,75,5.3,7.2,8.2,6.1,4.6,2.0,regularly,0,6.3,3,1,0.4876639553381155,0.49,Medium
Arjun Gokhale,21,Male,BSc CS,2nd Year,84,8.8,5.1,5.7,4.6,6.2,0.0,regularly,0,6.1,3,0,0.31653510220007797,0.32,Medium
Shaurya Dalvi,20,Male,BA,3rd Year,85,7.8,5.8,8.0,6.6,7.0,4.0,occasionally,0,7.0,2,1,0.5568178407419634,0.52,Medium
Ishaan Dalvi,21,Female,BSc CS,3rd Year,100,6.5,8.1,5.3,4.8,5.3,2.0,rarely,0,6.0,1,1,0.5284989644926014,0.53,Medium
Ananya Verma,18,Female,BSc CS,1st Year,84,5.1,5.7,7.4,7.8,7.8,0.0,occasionally,0,6.8,2,0,0.29645526307890857,0.29,Low
Rudra Rao,22,Female,BCom,2nd Year,83,7.5,8.1,6.4,6.5,9.6,1.0,never,0,7.6,0,1,0.39044631869616103,0.39,Medium
Aditi Reddy,20,Male,BA,3rd Year,47,7.3,6.6,7.2,7.8,5.8,0.0,occasionally,0,7.0,2,0,0.4380946663865294,0.44,Medium
Payal Iyer,18,Male,BCom,3rd Year,68,6.7,5.6,7.0,7.0,7.0,2.0,regularly,0,6.6,3,1,0.4715010355073985,0.48,Medium
Sumit Kadam,20,Male,BCom,1st Year,100,8.0,7.4,7.0,7.5,6.2,1.0,occasionally,0,7.2,2,1,0.24431971666116384,0.25,Low
Ansh Chowdhury,19,Female,BCom,1st Year,77,8.6,7.5,8.6,5.8,8.3,2.0,occasionally,0,7.8,2,1,0.35783533931626493,0.36,Medium
Isha Chowdhury,21,Male,BSc IT,2nd Year,82,8.2,6.2,5.2,4.4,7.0,0.0,rarely,0,6.2,1,0,0.432932136747006,0.43,Medium
Sneha Nikam,18,Female,BA,1st Year,46,7.7,9.4,6.1,9.9,6.9,2.0,regularly,0,8.0,3,1,0.409370591589879,0.44,Medium
Kunal Verma,20,Female,BSc CS,1st Year,76,7.6,7.5,7.5,5.7,5.6,2.0,rarely,0,6.8,1,1,0.538253744334724,0.54,Medium
Krishna Sawant,19,Female,BA,1st Year,73,6.7,7.1,7.0,6.7,7.0,2.0,rarely,0,6.9,1,1,0.5404448179608007,0.54,Medium
Aditya Shah,21,Male,BSc IT,1st Year,87,7.2,6.8,7.1,7.0,10.0,1.0,never,0,7.6,0,1,0.3753639283248793,0.37,Medium
Kabir Bose,18,Male,BSc IT,2nd Year,59,6.2,6.9,8.3,9.4,8.6,1.0,rarely,0,7.9,1,1,0.4104211063421076,0.42,Medium
Aryan More,19,Male,BCom,1st Year,60,5.3,6.9,7.7,5.7,6.8,0.0,never,1,6.5,0,0,0.5576432451901433,0.55,Medium
Vidhi Bhosale,19,Male,BSc IT,2nd Year,86,8.0,7.3,7.0,7.4,7.1,0.0,occasionally,0,7.3,2,0,0.21552060509649706,0.22,Low
Tanvi Kapoor,19,Male,BA,3rd Year,100,8.5,5.0,7.0,8.0,7.0,3.0,occasionally,0,7.1,2,1,0.4063991355764324,0.42,Medium
Atharva Chaudhary,18,Female,BBA,2nd Year,57,7.8,7.0,7.3,8.4,7.8,1.0,regularly,0,7.6,3,1,0.32765555122009776,0.33,Medium
Palak Ghosh,19,Female,BBA,2nd Year,86,7.6,8.2,8.1,9.2,7.0,1.0,rarely,0,8.0,1,1,0.26836149713359536,0.28,Low
Sejal Mhatre,18,Female,BA,3rd Year,73,6.2,6.3,7.5,7.4,5.6,0.0,regularly,0,6.6,3,0,0.3045142119638621,0.31,Medium
Arnav Chaudhary,18,Female,BA,2nd Year,71,6.0,7.7,6.5,7.8,6.3,1.0,occasionally,0,6.8,2,1,0.41851006993426765,0.41,Medium
Sejal Varghese,22,Male,BSc IT,3rd Year,74,6.4,8.1,6.4,7.3,5.5,1.0,rarely,0,6.8,1,1,0.4795299696851458,0.48,Medium
Manav Katpara,18,Male,BSc CS,3rd Year,62,6.2,5.7,7.9,8.2,7.0,1.0,regularly,0,7.0,3,1,0.38189212714229975,0.38,Medium
Dhruv Deshmukh,18,Male,BCom,1st Year,73,5.3,7.0,7.5,7.7,5.1,0.0,rarely,0,6.5,1,0,0.43572350451721353,0.43,Medium
Yash Naik,20,Female,BBA,1st Year,75,5.6,8.9,5.2,7.3,6.3,0.0,rarely,0,6.6,1,0,0.41277726085782024,0.41,Medium
Meera Nair,22,Male,BSc IT,3rd Year,81,7.0,6.7,8.4,9.5,5.8,1.0,rarely,0,7.5,1,1,0.3612570159378096,0.36,Medium
Rudra Kadam,20,Male,BSc CS,2nd Year,94,5.8,6.9,6.3,5.8,7.9,1.0,regularly,0,6.5,3,1,0.29246330702044004,0.3,Low
Krishna Lokhande,20,Male,BCom,1st Year,42,7.0,7.1,6.6,7.7,8.3,0.0,rarely,0,7.3,1,0,0.4782693519824714,0.48,Medium
Shaurya Singh,21,Male,BSc CS,2nd Year,88,7.0,8.2,8.2,8.4,6.2,0.0,rarely,0,7.6,1,0,0.23798661344058583,0.24,Low
Trisha Inamdar,22,Male,BCom,3rd Year,78,7.7,5.8,8.2,8.6,7.9,3.0,never,0,7.6,0,1,0.5643815469580095,0.56,Medium
Reyansh Arora,21,Female,BA,3rd Year,85,6.0,7.5,5.9,6.8,7.6,1.0,regularly,0,6.7,3,1,0.3098868445538315,0.31,Medium
Nandini Kulkarni,22,Female,BCom,2nd Year,73,8.4,6.5,6.6,5.4,6.1,2.0,never,0,6.6,0,1,0.636341807485668,0.64,High
Shruti Jain,21,Female,BCom,2nd Year,87,6.9,7.0,7.1,8.7,5.9,0.0,rarely,0,7.1,1,0,0.30001200588288257,0.3,Low
Monika Patankar,19,Female,BSc CS,3rd Year,74,9.2,7.0,6.5,7.3,6.6,1.0,rarely,0,7.3,1,1,0.40998589308761285,0.41,Medium
Prisha Thakur,19,Male,BSc CS,3rd Year,62,8.0,6.6,7.0,9.1,4.6,1.0,never,1,7.1,0,1,0.555602245100099,0.55,Medium
Tanya Mhatre,18,Female,BBA,3rd Year,69,6.1,10.0,7.5,7.7,8.4,1.0,occasionally,0,7.9,2,1,0.2963652189572891,0.3,Low
Arnav Chitale,19,Male,BBA,1st Year,100,6.9,8.1,5.8,5.0,8.1,0.0,occasionally,0,6.8,2,0,0.2221088333283309,0.23,Low
Karan Fernandes,20,Male,BSc IT,2nd Year,73,6.1,6.0,5.0,9.1,7.0,1.0,occasionally,0,6.6,2,1,0.4364438574901703,0.44,Medium
Simran Trivedi,21,Male,BCom,1st Year,98,5.4,5.8,8.4,8.5,8.3,2.0,never,0,7.3,0,1,0.44151634300807385,0.44,Medium
Krupa Chavan,20,Male,BSc IT,1st Year,80,7.6,6.6,6.1,4.2,7.1,1.0,occasionally,0,6.3,2,1,0.44378245340216704,0.44,Medium
Yash Patil,19,Male,BCom,2nd Year,73,6.5,7.2,6.5,5.9,6.9,1.0,occasionally,0,6.6,2,1,0.4398055046973014,0.44,Medium
Reyansh Verma,18,Male,BBA,2nd Year,73,4.6,6.3,7.6,7.9,8.0,2.0,regularly,0,6.9,3,1,0.4192604376144311,0.42,Medium
Bhakti Nair,18,Female,BBA,3rd Year,100,8.2,8.0,7.1,4.5,4.9,1.0,regularly,0,6.5,3,1,0.2661704235075187,0.28,Low
Dev Kadam,19,Female,BSc CS,1st Year,96,6.7,7.0,6.6,6.0,7.0,0.0,never,0,6.7,0,0,0.3733679502956448,0.38,Medium
Sejal Chitale,18,Female,BA,3rd Year,57,5.8,4.5,8.9,6.8,7.3,3.0,regularly,1,6.6,3,1,0.5952216586127203,0.61,High
Shivansh George,21,Female,BCom,3rd Year,57,8.2,5.4,5.6,7.7,7.0,3.0,regularly,1,6.8,3,1,0.5800792388270253,0.59,Medium
Myra George,22,Female,BSc CS,3rd Year,99,6.5,7.0,5.5,7.9,7.6,1.0,regularly,0,6.9,3,1,0.2244049584296304,0.23,Low
Kiara Varghese,20,Male,BBA,2nd Year,83,8.4,5.6,7.0,7.3,7.8,4.0,rarely,0,7.2,1,1,0.6074676591529851,0.58,Medium
Rudra Shinde,22,Male,BBA,3rd Year,60,7.4,7.7,7.7,7.6,6.2,1.0,occasionally,0,7.3,2,1,0.41472821682624483,0.4,Medium
Bhavesh Tiwari,22,Female,BCom,3rd Year,81,7.2,6.1,4.4,7.0,5.3,0.0,occasionally,0,6.0,2,0,0.4014917309481646,0.39,Medium
Manav Mittal,19,Male,BBA,3rd Year,82,7.9,7.2,7.4,7.1,7.8,3.0,rarely,0,7.5,1,1,0.502611279526968,0.51,Medium
Mansi Banerjee,22,Female,BA,3rd Year,79,4.6,8.4,5.6,6.1,8.0,3.0,occasionally,0,6.6,2,1,0.5688537383317825,0.57,Medium
Gauri Singh,22,Female,BBA,2nd Year,69,5.1,6.1,9.2,6.1,6.9,1.0,occasionally,0,6.7,2,1,0.44915508599213605,0.44,Medium
Pranav Trivedi,20,Female,BBA,3rd Year,68,7.1,4.5,4.4,9.4,7.6,0.0,regularly,0,6.6,3,0,0.32860101449710366,0.33,Medium
Pranav Kulkarni,20,Male,BA,3rd Year,76,5.6,7.8,7.2,6.9,5.4,3.0,never,0,6.6,0,1,0.6966713689707957,0.69,High
Anjali Chaudhari,22,Female,BSc CS,3rd Year,74,6.7,6.6,7.6,5.9,7.0,1.0,regularly,0,6.8,3,1,0.35546417744694886,0.36,Medium
Rekha Pinto,20,Female,BA,3rd Year,80,8.3,5.3,7.1,8.2,7.9,1.0,occasionally,0,7.4,2,1,0.3173304919410511,0.32,Medium
Hitesh Banerjee,20,Male,BSc CS,3rd Year,59,5.8,8.4,7.5,6.0,8.0,0.0,rarely,0,7.2,1,0,0.419710658222529,0.42,Medium
Divya Bhatt,21,Male,BA,3rd Year,79,6.1,4.7,7.8,9.0,7.7,1.0,rarely,0,7.1,1,1,0.4180298346189632,0.43,Medium
Aryan Bhat,18,Male,BSc CS,2nd Year,67,8.1,4.9,5.8,8.0,8.6,0.0,occasionally,0,7.1,2,0,0.33458894858480653,0.33,Medium
Yamini Gawande,21,Female,BA,3rd Year,73,6.6,7.0,7.0,5.8,7.8,1.0,occasionally,0,6.8,2,1,0.4117267461055916,0.41,Medium
Bhavesh Ansari,22,Female,BSc CS,1st Year,94,7.8,8.1,8.7,7.5,7.0,0.0,rarely,0,7.8,1,0,0.18640633910616217,0.19,Low
Sejal Shinde,22,Female,BSc CS,2nd Year,86,6.7,7.7,3.1,7.3,7.4,3.0,regularly,0,6.4,3,1,0.4892247201128552,0.5,Medium
Nikhil Pawar,20,Female,BA,1st Year,82,6.6,7.4,7.6,8.8,6.5,1.0,occasionally,0,7.4,2,1,0.3076657562205481,0.3,Low
Nandini Desai,20,Male,BBA,3rd Year,67,8.9,7.9,6.2,8.0,6.8,1.0,rarely,0,7.6,1,1,0.41264219467539087,0.42,Medium
Sneha Bhatt,21,Female,BCom,3rd Year,72,5.2,5.8,6.8,7.0,6.0,0.0,rarely,0,6.1,1,0,0.4841372272413482,0.48,Medium
Payal Chaudhary,18,Female,BA,3rd Year,73,7.0,7.6,5.8,8.6,7.6,0.0,never,0,7.3,0,0,0.40203199567788217,0.4,Medium
Hitesh Jadhav,21,Male,BCom,1st Year,91,8.2,7.0,6.9,7.5,7.5,2.0,regularly,0,7.4,3,1,0.27526487979109765,0.28,Low
Neha Jain,19,Female,BSc CS,3rd Year,72,5.8,5.0,6.1,6.8,7.8,1.0,occasionally,0,6.3,2,1,0.48226130804094003,0.47,Medium
Shivansh Bose,18,Male,BCom,2nd Year,77,9.0,8.0,6.0,4.5,8.2,0.0,occasionally,0,7.2,2,0,0.28197316685175744,0.28,Low
Aditi Tiwari,20,Female,BSc CS,1st Year,79,8.0,9.5,6.2,9.0,6.3,1.0,rarely,0,7.8,1,1,0.330942161659213,0.34,Medium
Deepak Rao,18,Female,BBA,1st Year,65,7.4,6.8,5.6,8.0,8.2,1.0,occasionally,0,7.2,2,1,0.4052135546417745,0.41,Medium
Om Mishra,21,Female,BA,2nd Year,62,7.7,8.8,7.9,8.1,6.4,1.0,never,1,7.8,0,1,0.4716961311042409,0.47,Medium
Dev Trivedi,21,Male,BA,2nd Year,73,5.0,5.7,8.7,6.4,7.8,0.0,rarely,0,6.7,1,0,0.41279226821142345,0.41,Medium
Tanvi Shaikh,19,Female,BBA,3rd Year,73,5.5,5.5,7.1,6.4,6.6,2.0,occasionally,0,6.2,2,1,0.5623855689287751,0.55,Medium
Yash Varghese,21,Male,BCom,3rd Year,99,6.1,8.7,7.0,6.0,8.7,0.0,rarely,0,7.3,1,0,0.2245400246120599,0.23,Low
Sara Kadam,18,Female,BSc CS,2nd Year,52,7.3,7.0,5.6,6.2,8.6,2.0,occasionally,0,6.9,2,1,0.5705195545817452,0.56,Medium
Shruti Prajapati,18,Female,BSc IT,3rd Year,78,6.7,3.6,5.7,7.4,7.0,3.0,rarely,1,6.1,1,1,0.6890776480475432,0.68,High
Palak Chaudhary,18,Female,BSc CS,1st Year,84,8.3,7.2,6.8,7.1,6.7,0.0,regularly,0,7.2,3,0,0.17878260347570302,0.18,Low
Aryan George,19,Male,BBA,3rd Year,70,6.1,5.5,7.4,7.1,7.2,2.0,occasionally,0,6.7,2,1,0.5192994567337994,0.52,Medium
Aditi Arora,20,Female,BA,2nd Year,85,6.6,6.4,7.4,7.7,8.7,1.0,rarely,0,7.4,1,1,0.3551940450820902,0.36,Medium
Muskan Menon,21,Male,BSc IT,3rd Year,100,9.6,6.9,7.0,8.6,6.9,1.0,regularly,0,7.8,3,1,0.11417594621364456,0.13,Low
Shivansh Singh,22,Male,BSc CS,2nd Year,63,8.3,6.6,8.5,6.4,5.8,0.0,regularly,0,7.1,3,0,0.29025722604075993,0.29,Low
Aarav Pillai,22,Female,BSc CS,1st Year,78,7.2,7.5,7.6,5.5,6.3,1.0,rarely,0,6.8,1,1,0.4496803433682504,0.45,Medium
Amit Saxena,18,Female,BSc IT,2nd Year,63,6.7,6.8,4.4,6.8,7.9,1.0,occasionally,1,6.5,2,1,0.4958429630518956,0.49,Medium
Khushi More,18,Male,BSc IT,2nd Year,40,8.3,4.8,7.3,8.1,5.3,4.0,regularly,1,6.7,3,1,0.7376564516613141,0.74,High
Simran Chowdhury,21,Male,BCom,3rd Year,78,8.0,7.0,7.4,6.4,6.9,1.0,occasionally,0,7.1,2,1,0.35196746405738805,0.36,Medium
Parth Thakur,22,Female,BA,2nd Year,62,5.5,7.9,6.9,7.0,5.7,0.0,never,1,6.6,0,0,0.5317705675781134,0.53,Medium
Ira Bansal,19,Male,BBA,3rd Year,69,8.6,5.0,6.9,6.8,9.9,1.0,regularly,0,7.4,3,1,0.30026713089413815,0.3,Low
Vivek Arora,18,Male,BSc CS,2nd Year,78,6.4,6.0,5.7,10.0,6.7,1.0,never,0,7.0,0,1,0.4930966173424977,0.5,Medium
Palak Nair,19,Female,BA,2nd Year,64,6.3,7.0,3.9,6.9,7.7,1.0,rarely,0,6.3,1,1,0.5732508929375394,0.57,Medium
Trisha Chaudhari,21,Female,BSc CS,2nd Year,70,6.9,7.0,7.6,8.8,7.0,2.0,rarely,0,7.5,1,1,0.4837620434012665,0.48,Medium
Jinal Trivedi,19,Male,BCom,2nd Year,59,5.4,6.4,8.3,8.2,7.3,2.0,never,1,7.1,0,1,0.6367470060329561,0.64,High
Pranav Fernandes,18,Male,BBA,1st Year,91,6.9,6.8,7.0,6.7,5.8,1.0,rarely,0,6.6,1,1,0.41373773148842924,0.42,Medium
Atharva Bhosale,22,Male,BCom,2nd Year,53,6.5,6.5,7.1,5.1,5.3,1.0,occasionally,1,6.1,2,1,0.5917249452231594,0.57,Medium
Rohan Mhatre,21,Male,BCom,3rd Year,63,9.3,7.7,7.6,5.8,5.5,1.0,regularly,0,7.2,3,1,0.3535882582465408,0.35,Medium
Varun Banerjee,19,Female,BBA,3rd Year,66,7.6,7.8,7.4,8.1,6.4,0.0,never,0,7.5,0,0,0.4103610769276946,0.42,Medium
Ishaan Sharma,19,Male,BA,1st Year,89,7.3,6.3,8.2,7.5,8.8,0.0,never,0,7.6,0,0,0.29235825554521716,0.29,Low
Shaurya Rane,21,Female,BA,3rd Year,70,8.6,8.2,7.4,5.2,6.9,0.0,occasionally,0,7.3,2,0,0.2979109763784253,0.3,Low
Shaurya Ansari,21,Male,BA,2nd Year,68,9.4,6.0,5.0,8.3,6.1,1.0,regularly,0,7.0,3,1,0.35573430981180776,0.36,Medium
Raj Bhosale,22,Male,BBA,1st Year,64,7.4,6.0,9.1,8.2,8.0,1.0,rarely,0,7.8,1,1,0.4011615691688927,0.41,Medium
Manav Bansal,19,Male,BA,2nd Year,82,7.1,6.3,8.0,5.9,5.6,0.0,rarely,0,6.6,1,0,0.38724975237866543,0.39,Medium
Sai Gokhale,21,Male,BBA,3rd Year,69,9.3,7.2,6.0,6.3,8.0,1.0,rarely,0,7.4,1,1,0.42939040129663536,0.42,Medium
Aryan Desai,20,Female,BSc IT,1st Year,81,5.0,8.1,7.6,7.6,8.1,1.0,rarely,0,7.2,1,1,0.38836029654530707,0.39,Medium
Trisha Kadam,18,Male,BA,3rd Year,59,7.5,6.8,8.3,6.9,8.0,1.0,never,1,7.5,0,1,0.5142569859231022,0.51,Medium
Myra Verma,19,Female,BSc CS,2nd Year,72,7.5,6.2,7.3,7.9,6.1,2.0,regularly,0,7.0,3,1,0.4080799591799982,0.41,Medium
Vidhi Reddy,19,Female,BA,1st Year,90,7.7,7.1,4.7,8.8,5.9,0.0,occasionally,0,6.8,2,0,0.2584416364018368,0.26,Low
Saloni Chaudhary,21,Male,BA,2nd Year,73,7.2,8.4,7.6,5.5,7.0,1.0,rarely,0,7.2,1,1,0.43519824714109917,0.44,Medium
Bhavesh Wagh,20,Female,BSc IT,1st Year,78,7.0,6.5,7.5,5.9,5.6,3.0,regularly,0,6.5,3,1,0.5230663024882193,0.53,Medium
Shivansh Das,19,Male,BSc IT,3rd Year,95,7.1,6.6,6.2,6.2,6.8,0.0,never,0,6.6,0,0,0.3884503406669269,0.39,Medium
Gauri D'Souza,20,Male,BSc IT,3rd Year,69,8.0,4.1,5.8,8.2,7.0,0.0,never,0,6.6,0,0,0.5014557132995167,0.5,Medium
Aarav D'Souza,19,Female,BA,1st Year,73,8.6,7.0,5.6,6.3,6.9,0.0,never,0,6.9,0,0,0.4527718582105233,0.46,Medium
Khushi Bose,22,Female,BBA,2nd Year,61,6.0,5.6,7.5,7.2,6.8,2.0,occasionally,0,6.6,2,1,0.5650568778701563,0.56,Medium
Vivaan Thomas,21,Male,BA,2nd Year,89,7.9,7.0,7.6,6.9,7.2,1.0,occasionally,0,7.3,2,1,0.2791217696671368,0.28,Low
Raj Agarwal,19,Female,BSc CS,1st Year,96,6.8,7.8,7.9,6.2,4.5,2.0,never,0,6.7,0,1,0.5228712068913768,0.53,Medium
Kabir Dalvi,22,Female,BSc CS,1st Year,80,5.4,7.4,7.0,8.4,5.7,2.0,rarely,0,6.8,1,1,0.5210253023981751,0.53,Medium
Sejal Pawar,19,Male,BA,3rd Year,73,8.1,8.3,7.9,6.8,7.0,1.0,rarely,0,7.6,1,1,0.3788156196536302,0.38,Medium
Deepak Gokhale,19,Male,BBA,2nd Year,97,5.3,5.2,7.0,8.4,5.1,2.0,never,0,6.2,0,1,0.576342407779812,0.57,Medium
Kabir Sawant,18,Female,BCom,2nd Year,54,8.5,8.4,7.1,6.5,5.8,0.0,occasionally,0,7.3,2,0,0.3719422517033346,0.36,Medium
Rohan Shetty,20,Female,BA,2nd Year,57,9.4,8.3,7.6,6.3,6.1,0.0,regularly,0,7.5,3,0,0.2664105411651707,0.26,Low
Prisha Trivedi,21,Female,BSc CS,1st Year,60,8.1,7.5,9.8,7.0,8.4,0.0,regularly,0,8.1,3,0,0.17678662544646867,0.19,Low
Tanvi Sharma,18,Male,BA,2nd Year,84,5.9,6.9,5.6,5.2,4.4,1.0,rarely,0,5.6,1,1,0.5711648707866854,0.56,Medium
Saloni Bansal,18,Male,BA,1st Year,86,5.2,6.8,5.2,6.6,7.8,1.0,occasionally,0,6.4,2,1,0.41027103280607496,0.41,Medium
Manav Shaikh,18,Male,BCom,3rd Year,72,5.6,7.7,5.7,8.4,7.7,0.0,occasionally,0,7.0,2,0,0.3204670288441335,0.33,Medium
Monika Bansal,18,Male,BCom,1st Year,74,7.3,6.6,7.0,6.3,8.5,0.0,occasionally,0,7.2,2,0,0.2937539394303208,0.29,Low
Payal Chopra,19,Female,BBA,1st Year,51,5.8,8.5,8.7,6.2,7.0,1.0,never,1,7.2,0,1,0.5813848785905094,0.57,Medium
Shreya Wagh,20,Female,BSc CS,3rd Year,69,5.3,7.0,6.1,6.1,8.2,0.0,rarely,0,6.5,1,0,0.45142119638622913,0.45,Medium
Ishita Bhat,19,Male,BBA,2nd Year,72,8.0,7.3,7.0,9.3,7.7,0.0,never,0,7.9,0,0,0.34006663264999853,0.34,Medium
Aryan Naik,20,Male,BBA,3rd Year,49,8.2,7.9,7.3,7.0,4.9,1.0,never,1,7.1,0,1,0.6148812918329982,0.61,High
Neha Mathew,19,Male,BA,2nd Year,97,6.2,4.3,7.0,6.8,8.1,3.0,regularly,0,6.5,3,1,0.4348830927154306,0.45,Medium
Tanish Saxena,22,Female,BBA,3rd Year,84,5.5,8.4,8.5,5.5,8.6,0.0,rarely,0,7.3,1,0,0.2893267701173574,0.29,Low
Krupa Nikam,21,Female,BSc CS,2nd Year,79,5.2,7.0,7.7,6.5,4.1,2.0,never,0,6.1,0,1,0.6683224780142271,0.67,High
Krupa More,21,Male,BA,1st Year,69,7.2,6.4,7.3,6.6,5.4,1.0,rarely,0,6.6,1,1,0.5234414863283007,0.52,Medium
Shivansh Shirke,22,Male,BSc CS,1st Year,76,7.7,8.2,7.0,6.7,6.5,1.0,regularly,0,7.2,3,1,0.2905273584056187,0.29,Low
Tanya George,18,Male,BBA,2nd Year,86,7.5,7.2,8.0,7.4,6.4,1.0,occasionally,0,7.3,2,1,0.29480445418254936,0.29,Low
Shivansh Sharma,19,Male,BSc CS,1st Year,100,9.8,5.3,8.2,5.4,7.2,0.0,regularly,0,7.2,3,0,0.11549659333073205,0.13,Low
Mayank Sawant,22,Male,BA,3rd Year,86,7.2,5.8,6.2,5.2,5.6,0.0,regularly,0,6.0,3,0,0.32094726415943814,0.32,Medium
Diya Bhatt,19,Male,BBA,3rd Year,96,7.4,7.2,6.9,5.6,7.0,1.0,occasionally,0,6.8,2,1,0.30562475613050394,0.31,Medium
Saloni Rane,18,Male,BCom,2nd Year,94,8.4,7.1,7.0,7.6,6.9,0.0,never,0,7.4,0,0,0.29657532190773467,0.3,Low
Rudra Sethi,21,Female,BCom,2nd Year,75,7.7,5.8,6.4,7.8,6.4,2.0,rarely,0,6.8,1,1,0.5422156856859862,0.54,Medium
Manav Trivedi,19,Male,BCom,1st Year,75,8.7,6.8,10.0,5.6,7.4,0.0,never,0,7.7,0,0,0.34581444908004916,0.35,Medium
